pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,,no.,sequential,random
-150,z,,,,,6,0,24,3,196.3083685,197.3055993,197.3055993,197.3055993,197.3055993,197.3224887,198.3028935,198.3028935,z,1,0.4397582,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,6,1,25,3,198.7684659,199.7655411,199.7655411,199.7655411,199.7655411,199.7820802,200.7629218,200.7629218,z,1,0.4317933,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,6,2,26,2,201.2116535,202.2087286,202.2087286,202.2087286,202.2087286,202.2253277,203.2061414,203.2061414,c,1,0.5281543,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,6,3,27,1,203.7546422,204.7519389,204.7519389,204.7519389,204.7519389,204.7685838,205.749177,205.749177,v,1,0.4086484,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,7,0,28,2,206.1817921,207.1787248,207.1787248,207.1787248,207.1787248,207.1953426,208.1761033,208.1761033,c,1,0.5440726,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,7,1,29,3,208.7413582,209.7386994,209.7386994,209.7386994,209.7386994,209.7553696,210.7357864,210.7357864,z,1,0.4903743,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,7,2,30,1,211.2511728,212.2488374,212.2488374,212.2488374,212.2488374,212.2649269,213.2457961,213.2457961,v,1,0.4712697,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,7,3,31,1,213.744351,214.7418011,214.7418011,214.7418011,214.7418011,214.7584559,215.7388134,215.7388134,v,1,0.4440939,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,8,0,32,1,216.2044814,217.2018029,217.2018029,217.2018029,217.2018029,217.2184543,218.1987745,218.1987745,v,1,0.3629312,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,8,1,33,3,218.5813503,219.578661,219.578661,219.578661,219.578661,219.595554,220.5761264,220.5761264,z,1,0.4513718,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
